company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
S&amp;P Global,Canada,  Our team of 40+ designers work closely with our engineering teams to design and build the next generation of online of experiences for finance.,ui ux designer,Full Stack Web Developer,undefined,"Remote in London, ON",2022-07-17,3.9,60000-95000
AbCellera Biologics,Canada,"  You’ll join a team of software developers, machine learning engineers, data scientists, mechanical engineers, biochemists and physicists - all working together…",ui ux designer,Senior UX Designer,full-time,"Vancouver, BC",2022-07-17,,
Emily Carr University of Art + Design,Canada,"  Software and tools including Maya, Houdini, Blender, Zbrush, Photoshop, SolidWorks, Adobe After Effects, Unity. Master’s degree is preferred but not required.",ui ux designer,Continuing Studies Instructors – Game Development,undefined,"Vancouver, BC",2022-07-17,3.9,74.50
Electronic Arts,Canada,"  Work with our designers and programmers to determine design, technical and data requirements. Implement screens, widgets, logic, and data flows with the…",ui ux designer,UX Technical Designer - Dragon Age (12 Month Contract),temporary,"Edmonton, AB",2022-08-03,3.8,
Larian Studios,Canada,  Work together with the UI designers on the in-game UI/UX. Work closely together with the other departments to implement the needed UI elements and controls.,ui ux designer,UI Programmer | Programmeur D’interface Utilisateur,full-time,"Quebec City, QC",2022-07-19,,
Canadian National Railway,Canada,  The Expert User Experience (UX) Design is responsible for producing user-centric experiences and application interfaces for a variety of business objectives…,ui ux designer,"Expert, User Experience Design",,"Ottawa, ON",2022-07-17,3.1,
AgencyAnalytics,Canada,"  This includes researching the use cases, collecting and analyzing customer feedback and working with our designers and engineers to get the project completed.",ui ux designer,Product Manager,full-time,+9 locationsRemote,2022-07-17,3.7,
Fortinet,Canada,"  Collaborate with graphic designers and backend development teams to construct and implement the front-end interfaces. Expertise in HTML5, CSS3, Bootstrap.",ui ux designer,Cloud Web Developer,full-time,"Burnaby, BC",2022-07-17,3.8,
tbk Creative,Canada,"  Collaborate with creative officers, graphic designers, content writers, developers, digital specialist, and account strategists to ensure the creation and…",ui ux designer,Senior Integrated Strategist,undefined,"Remote in London, ON",2022-08-16,,88000-100000
"AMETEK, Inc.",Canada,"  Storyboard, our GUI development software, has established itself as the benchmark for creating and deploying embedded GUIs directly from a designer's desktop to…",ui ux designer,Crank Software - Software Developer (m/f/d),,"Remote in Ottawa, ON",2022-07-17,3.4,
