company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
PlayQ,USA,"  As a key member of the Product team, you will independently lead initiatives end-to-end and will work closely with Design, Engineering, Art and Data to create,…",product manager,Senior Product Manager (Remote),,"Remote in Seattle, WA+5 locations",2022-07-17,,
FIS Global,USA,"  Reports new or recurring problems to product management and/or product development departments. Monitors call queues, call volume and other metrics.",product manager,Product Support Manager I,full-time,"Saint Petersburg, FL 33716+2 locations",2022-08-16,3.4,
ZL Technologies,USA,"  Launch new products and features, track customer adoption and feedback, and iterate quickly. Experience working with aspects of the product development…",product manager,Technical Product Manager,full-time,"Milpitas, CA 95035+1 location",2022-07-17,1.5,
Zonar Systems,USA,  Incorporate internal and external stakeholder feedback to generate features that deliver true business value to the end-user.,product manager,Senior Product Manager (Video Telematics),,Remote,2022-07-17,3.3,
Databricks,USA,"  Customer conversations, write PRDs, determine success metrics, prioritize features, guide engineering and design work.",product manager,"Product Manager, Identity Platform (All Levels)",,"Remote in San Francisco, CA 94105+1 location",2022-07-17,3.3,
"ITT, Inc.",USA,"  Develop portfolio and product roadmaps for assigned product groups. Championing new products through the product development process, including opportunity…",product manager,"Manager, Product Management",,"Westminster, SC 29693",2022-07-17,3.8,
LG Electronics U.S.,USA,"  Capture, analyze and report on metrics and learnings associated with the services. Define, manage and guide requirements for program execution.",product manager,"Product Manager, ThinQ Platform",,"Englewood Cliffs, NJ+4 locations",2022-07-17,3.8,
Chanel,USA,"  Drive all aspects of the assigned product category, including analysis, reporting, assortment planning, and partnership with Home Office buying team.",product manager,"Assistant Manager, Product, Tysons",full-time,"McLean, VA 22102+13 locations",2022-07-17,4.1,
NTWRK,USA,  Set your engineering team for success by collaborating closely with them in sprint activities and providing them with relevant user stories.,product manager,Growth Product Manager - REMOTE,full-time,"Remote in Los Angeles, CA 90079",2022-07-17,,
"INFICON, Inc.",USA,"  Bachelor's degree in a technical discipline (engineering or sciences). Experienced in business development: interpreting market trends, seeking user feedback,…",product manager,Sr. Product Manager,full-time,"East Syracuse, NY 13057",2022-07-17,3.8,
Visa,USA,"  Demonstrated expertise/power user in Jira and MS Office (Excel, PowerPoint, Project and Word). Coordinate platform product development activities in line with…",product manager,Product Analyst/Manager - Account Level Management (ALM),full-time,"Hybrid remote in Foster City, CA",2022-07-21,3.9,
Octopus Energy,USA,"  Work closely with designers to ensure designs align to product spec. Scope out product proposals to ensure we’re building the best product, at the ideal level…",product manager,Product Owner,full-time,+1 locationRemote,2022-08-11,,
Globus Medical,USA,  Working closely with purchasing and operations departments to source products through the Globus supply chain. Excellent oral and written communication skills.,product manager,Sr. Product Manager,,"Audubon, PA",2022-08-12,3.3,
Ginger,USA,"  Previous experience in product management, customer success, or engineering preferred. Previous experience running large-scale projects or features across teams…",product manager,Lead Product Manager - Partnerships,full-time,Remote,2022-07-17,3.8,
AstraZeneca,USA,  Develop and deliver Digital products to drive business value and step change Digital maturity within the organization.,product manager,Digital Product Manager,full-time,"Redwood City, CA 94063+8 locations",2022-07-17,4.1,
Adobe,USA,  Comfortable applying a combination of qualitative and quantitative methods to define success and problem solving without perfect metrics.,product manager,"Group Product Manager, Cloud Platform",undefined,"San Jose, CA+1 location",2022-07-17,4.3,147300-191300
Tive,USA,  Lead product discovery for your team to ensure good product sense and clear understanding of user problems. Must have previous experience as a product owner on…,product manager,Technical Product Manager,full-time,"New York, NY",2022-07-17,,
Commerce Bank,USA,"  Design and execute upon product testing calendar and projects with prospective and future customers to inform product feasibility, features and design.",product manager,Retail Product Manager,full-time,"St. Louis, MO 63105",2022-08-12,4.0,
Delphix,USA,"  In collaboration with Engineering, define the product roadmap. Develop the product strategy for specific Delphix products, informed by customer and market…",product manager,"Product Manager, Continuous Data",full-time,Remote,2022-07-17,3.2,
Adobe,USA,"  This person will come from either a product management, product marketing or product strategy background and have developed their skills in either a software…",product manager,Sr Product Marketing Manager,full-time,"San Jose, CA+3 locations",2022-07-17,4.3,
Alaska Airlines,USA,"  Monitor user feedback to prioritize product features, enhancements, and fixes. In this role you will manage a team of product managers who define a roadmap of…",product manager,Manager Product Management,full-time,"Seattle, WA 98194 (Downtown area)",2022-07-17,3.8,
Extra Space Storage,USA,  Work closely with backend engineering team in an agile environment to deliver products to market. Collaborate with key business stakeholders to determine…,product manager,Technical Product Manager,full-time,"Salt Lake City, UT",2022-07-17,3.8,
Ellevation,USA,"  You will partner closely with an engineering peer to lead the agile team, identify and weigh tradeoffs around short and long-term investments, and drive an…",product manager,Product Manager,full-time,"Remote in Boston, MA",2022-07-17,4.3,
CipherTrace,USA,  Development of products with data presentation and discovery features. 7+ years of product development experience with at least 2 of those in product management…,product manager,"Product Manager, Cryptocurrency &amp; Blockchain",full-time,Remote,2022-08-04,,
Roo,USA,"  Perform some user acceptance testing to ensure features are delivered in exceptional manner. Scope, build and deliver product features and enhancements.",product manager,Product Manager (remote),full-time,"Remote in San Francisco, CA",2022-07-21,,
Global Industrial,USA,Global Industrial Corporate Overview For over 70 years Global Industrial has been an industry leader providing private label and brand name industrial…,product manager,Associate Product Manager,,"Port Washington, NY 11050",2022-08-11,2.9,
Lenovo,USA,"  Develop analysis on features, priorities, and value proposition of products based on customer needs, competition, and market segmentation.",product manager,Senior Product Manager - Commercial Notebooks,full-time,"Morrisville, NC+4 locations",2022-08-16,3.9,
Ashfield Engage,USA,"  Create user stories and requirements documentation for use by product development, data engineering, quality assurance, validation and business intelligence…",product manager,Salesforce Product Manager,full-time,Remote,2022-07-17,3.5,
Slack,USA,"  Work with your product, design, and engineering peers to create a vision to drive 10x platform activity through a partner ecosystem strategy.",product manager,"Senior Product Manager, Platform Ecosystem",undefined,"San Francisco, CA",2022-07-17,3.8,150200
Proton.ai,USA,"  Biannual Company Paid off-sites - time for us to be together, brainstorm, and make magic happen. Develop product positioning, value propositions and messaging…",product manager,"Senior Manager, Product Marketing",full-time,+1 locationRemote,2022-08-03,,
Casebook,USA,"  Produce and edit materials for user design meetings, story breakdown meetings, user tests, product marketing and sales. Develop and iterate on product roadmaps.",product manager,Product Manager,,"Remote in New York, NY 10001",2022-07-17,,
Red Robin,USA,  Technical knowledge to understand product deployment and required engineering support. Maintains knowledge around latest releases for assigned technology…,product manager,Associate Product Owner,undefined,"Denver, CO 80202 (Central Business District area)+2 locations",2022-08-13,3.5,67000-92125
