company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
Keysight Technologies,USA,"  Firmware/embedded software engineers design, develop, test and debug embedded application software and/or firmware that will drive controls and control systems…",software engineer,Software R&amp;D Engineer,undefined,"Loveland, CO+6 locations",2022-08-11,3.9,76430-127380
University of Nebraska Medical Center,USA,"  Working knowledge of/skill with server-side technologies, management and deployment of virtualized hardware environments and cloud solutions; virtualization and…",software engineer,Software Engineer II,undefined,"Remote in Omaha, NE",2022-07-17,3.9,67100-100700
Cape Privacy,USA,  Collaborate with software engineers on design and development of user interface APIs. Knowledge of software engineering best practices using GitHub.,software engineer,Front-End Software Engineer,full-time,"Remote in New York, NY",2022-07-17,,
Intuit,USA,  Understanding of software engineering fundamentals and their practical application. Apply understanding of the full software development lifecycle to deliver…,software engineer,Software Engineer-Backend,,"Eagle, ID 83616+25 locations",2022-07-17,4.2,
Colorado State University,USA,"  O Establish and track workflow for software development using application lifecycle management software. O Experience using a development tool chain, version…",software engineer,Research Software Engineer (OWSI/OMSLab),undefined,"Fort Collins, CO",2022-07-29,4.1,65000-85000
FormFree Holdings Corporation,USA,"  Develop enterprise-level information technology solutions by analyzing, coding, testing and implementing new software, and by modifying and enhancing software…",software engineer,Software Engineer,,"Johns Creek, GA 30024",2022-07-17,,
Concentrix Catalyst,USA,"  The position of Software Engineer will be responsible for designing, programming, coding, and analyzing new computer programs and data structures in accordance…",software engineer,"Software Engineer, Job Ref # 960817",full-time,"Remote in Omaha, NE+6 locations",2022-08-11,3.6,
Mandiant,USA,"  Experience implementing software in cloud native platforms such as AWS and Azure, GCP. Study and implement the latest software development best practices.",software engineer,Software Engineer - Node.js (USA REMOTE),undefined,"Remote in San Jose, CA+57 locations",2022-08-11,3.5,85900
"Phoenix Logistics, LLC",USA,  Experience with the JLCCTC or similar constructive Modeling and Simulation software. You will report up through the Engineering Management team and perform…,software engineer,Software Engineer 1- Remote,full-time,"Remote in Orlando, FL 32826+1 location",2022-07-17,,
Apple,USA,"  Exposure to Signal Processing, numeric methods and data collection from embedded systems. Strong software development skills, with a proficiency in both Object…",software engineer,Software Data Engineer,,"Cupertino, CA+4 locations",2022-08-16,4.1,
