company_name,country,job_description,job_field,job_title,job_type,non_remote_location,post_date,rating,salary
PwC,AUSTRALIA,"Undertaking data maturity assessments, current-state architecture and data platform assessments and developing data inventories.",data analyst,Manager | Data &amp; Business Analyst,full-time,Canberra ACT,2022-07-17,4.0,
NSW Government -Department of Customer Service,AUSTRALIA,"Desirable qualifications and/or experience in data mining or data visualisation. If you have been looking for roles such as performance analyst, data analyst,…",data analyst,"Business Analyst, Planning",undefined,Sydney NSW,2022-08-09,,99431
Capgemini,AUSTRALIA,Excellent communicator with the ability to translate data into actionable insights. Experience with data visualisation with Power bi/Tableau.,data analyst,Business Analyst,,Adelaide Region SA,2022-08-05,3.8,
Queensland Treasury Corporation,AUSTRALIA,"Experience with Power BI, databases and data warehouse structures would be highly regarded. It is an important role for the Risk Division, as the key enabler…",data analyst,"Analyst, Risk",full-time,Brisbane QLD,2022-08-04,4.0,
JB Hi-Fi,AUSTRALIA,"Lead continuous improvement activities, especially in relation to the data lifecycle, data visualization and reporting principles.",data analyst,Senior Data Analyst,permanent,Remote in Victoria,2022-07-17,4.0,
EY,AUSTRALIA,Extensive experience in dealing with data challenges – data quality and performance – throughout complex technology landscapes.,data analyst,Data Engineers - Technology Consulting - Data &amp; Analytics,undefined,Melbourne VIC 3000+1 location,2022-07-17,4.0,90000
Sydney Water,AUSTRALIA,"Deliver on the data migration strategy and data synchronisation processes. Champions Master Data Management (MDM) and data capability, particularly with…",data analyst,Business Analyst ( Data Migration),permanent,Parramatta NSW,2022-07-17,3.8,
Coles Group,AUSTRALIA,"  As a Business Analyst - Product, you will be responsible for gathering requirements for various initiatives, supporting the growth of our Coles Plus member…",data analyst,Business Analyst,full-time,Temporarily Remote in Hawthorn East VIC 3123,2022-07-17,3.9,
Macquarie Group Limited,AUSTRALIA,  Develop insightful metrics and create dashboards to visualize financial crime data and trends. Owning and delivering analytics projects and automated data…,data analyst,Insights Analyst - Data Analytics,permanent,Sydney NSW,2022-07-17,3.8,
Auto &amp; General Insurance,AUSTRALIA,"  Strong business modelling, process mapping and data models experience. Great benefits; bonus scheme, discounted products &amp; paid volunteer day.",data analyst,Business Analyst,full-time,Sunshine Coast QLD+2 locations,2022-08-12,3.8,
Toll Group,AUSTRALIA,"  Assist in the timely compilation of data for business performance reports and dashboards. Strong numerical and analytical skills, with the ability to dive into…",data analyst,Junior Continuous Improvement Analyst,full-time,Melbourne VIC,2022-07-17,3.6,
ALDI,AUSTRALIA,"  Work across multiple business functions to provide strategic, data-based decision-making support, by partnering with project teams and facilitating the use of…",data analyst,APT Analyst,undefined,Remote in New South Wales,2022-07-17,3.3,124900-142500
NSW Government -Public Service Commission,AUSTRALIA,"  Apply data governance principles to manage and resolve data quality issues. Compile, organise and analyse large data sets using various analytical, statistical…",data analyst,"Analyst, Analytics &amp; Insights",,Sydney NSW,2022-08-06,,
Amzn Commercial Srvcs Pty Ltd,AUSTRALIA,"  Strong analytical and data skills are essential to succeed in this role. Prior experience working in data &amp; analytics (Excel, SQL, Tableau).",data analyst,"Brand Analyst, Amazon Vendor Services",full-time,Sydney NSW,2022-07-17,3.5,
ANZ Banking Group,AUSTRALIA,"  Role Type: 12 month Fixed Term contract, Full-time. Under the Third Party Risk Management (TPRM) program, this role is responsible for defining business…",data analyst,"Business Analyst, Know-Your-Supplier",undefined,Melbourne VIC,2022-07-17,4.1,500
Commonwealth Bank,AUSTRALIA,"  Data Analysis Skills – Review large datasets to analyse, map, and assess impact due to data flow changes. Hands-on experiences in data and reporting technology…",data analyst,Senior Technical Business Analyst - Data,full-time,Sydney Central Business District NSW,2022-08-16,4.0,
Canva,AUSTRALIA,  Experience in a data scripting language (Python or R) and analysing marketing data using frameworks such as Causal Impact or GeoXExperience working with ad…,data analyst,Senior Marketing Data Analyst (Open for Remote across ANZ),full-time,Remote in Sydney NSW,2022-07-29,3.8,
Australian Prudential Regulation Authority (APRA),AUSTRALIA,  Consider how changes to data items impact the broader data collection and interact with AASB or international regulatory data items.,data analyst,Senior Analyst - Data Collection Design,,Sydney NSW,2022-07-17,4.5,
ENGIE ANZ,AUSTRALIA,"  Analyse equipment/asset/building performance data. The ideal incumbent will have experience with using data extraction and data manipulation tools such as SQL,…",data analyst,Data Analyst,permanent,Melbourne VIC,2022-07-17,,
Monadelphous,AUSTRALIA,  Extensive experience working with people data analysis at a large organisation. Improve and embed strong governance principles in data analysis and reporting.,data analyst,Business Analyst – HR,,Perth WA,2022-08-16,4.1,
Pernod Ricard,AUSTRALIA,  Previous experience as a data analyst or digital marketing coordinator either in a digital agency or Omni channel environment.,data analyst,Marketing Data Analyst.,full-time,Sydney NSW,2022-08-02,4.3,
FinXL,AUSTRALIA,"  You will have a background in data stewardship, data governance or data quality. Support the data owners/stewards to set common data standards, definitions and…",data analyst,Data Steward / Data Governance / Data Quality Analyst,contract,Sydney NSW,2022-08-10,,
